DateTime	A	1
30-Mar-2021 00:25:04	80.062	26.2
30-Mar-2021 00:25:09	80.043	26.4
30-Mar-2021 00:25:14	79.951	28
30-Mar-2021 00:25:19	79.954	28.2
30-Mar-2021 00:25:24	80.066	26.3
30-Mar-2021 00:25:29	80.054	26.2
30-Mar-2021 00:25:34	79.944	28.2
30-Mar-2021 00:25:39	79.954	28.1
30-Mar-2021 00:25:44	80.032	26.5
30-Mar-2021 00:25:49	80.069	26.2
30-Mar-2021 00:25:54	79.963	28
30-Mar-2021 00:25:59	79.95	28.2
30-Mar-2021 00:26:04	79.964	28.1
30-Mar-2021 00:26:09	80.08	25.9
30-Mar-2021 00:26:14	80.056	26.1
30-Mar-2021 00:26:19	79.944	28.1
30-Mar-2021 00:26:24	79.953	28.3
30-Mar-2021 00:26:29	80.069	26.2
30-Mar-2021 00:26:34	80.065	26
30-Mar-2021 00:26:39	79.946	28
30-Mar-2021 00:26:44	79.948	28.2
30-Mar-2021 00:26:49	80.039	26.3
30-Mar-2021 00:26:54	80.056	26.4
30-Mar-2021 00:26:59	79.949	28.3
30-Mar-2021 00:27:04	79.945	28.4
30-Mar-2021 00:27:09	79.962	28.2
30-Mar-2021 00:27:14	80.077	26
30-Mar-2021 00:27:19	80.052	26.2
30-Mar-2021 00:27:24	79.947	28.2
30-Mar-2021 00:27:29	79.956	28.2
30-Mar-2021 00:27:34	80.081	26
30-Mar-2021 00:27:39	80.08	25.8
30-Mar-2021 00:27:44	79.938	28.2
30-Mar-2021 00:27:49	79.953	28.1
30-Mar-2021 00:27:54	80.042	26.1
30-Mar-2021 00:27:59	80.07	26
30-Mar-2021 00:28:04	79.951	28.1
30-Mar-2021 00:28:09	79.937	28.3
30-Mar-2021 00:28:14	79.957	28.1
30-Mar-2021 00:28:19	80.068	26.2
30-Mar-2021 00:28:24	80.047	26.3
30-Mar-2021 00:28:29	79.935	28.4
30-Mar-2021 00:28:34	79.957	28.2
30-Mar-2021 00:28:39	80.073	26.1
30-Mar-2021 00:28:44	80.059	26.2
30-Mar-2021 00:28:49	79.946	28.1
30-Mar-2021 00:28:54	79.96	28.1
30-Mar-2021 00:28:59	79.994	26.6
30-Mar-2021 00:29:04	80.045	26.6
30-Mar-2021 00:29:09	79.967	28.1
30-Mar-2021 00:29:14	79.96	28
30-Mar-2021 00:29:19	79.973	27.9
30-Mar-2021 00:29:24	80.066	26.4
30-Mar-2021 00:29:29	80.049	26.3
30-Mar-2021 00:29:34	79.958	28
30-Mar-2021 00:29:39	79.97	27.9
30-Mar-2021 00:29:44	80.052	26.2
30-Mar-2021 00:29:49	80.046	26.4
30-Mar-2021 00:29:54	79.947	28.2
30-Mar-2021 00:29:59	79.949	28.3
30-Mar-2021 00:30:04	79.957	28.3
30-Mar-2021 00:30:09	80.056	26.5
30-Mar-2021 00:30:14	80.044	26.6
30-Mar-2021 00:30:19	79.946	28.3
30-Mar-2021 00:30:24	79.966	28.1
30-Mar-2021 00:30:29	80.059	26.4
30-Mar-2021 00:30:34	80.052	26.4
